party,manifesto_year,promise_category,promise_text,status,confidence,source_manifesto,source_evidence_1,source_evidence_2,notes
DMK,2021,women,Free bus travel for women in state-run urban and suburban buses,Fulfilled,high,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/promises-vs-reality-where-does-the-mk-stalin-government-stand-four-years-into-power/,https://thesouthfirst.com/tamilnadu/south-first-analysis-dmk-delivers-394-of-505-poll-promises-women-centric-schemes-lag/,Repeatedly identified as a flagship fulfilled promise.
DMK,2021,prices,Reduce Aavin milk prices,Fulfilled,high,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/promises-vs-reality-where-does-the-mk-stalin-government-stand-four-years-into-power/,https://thesouthfirst.com/tamilnadu/south-first-analysis-dmk-delivers-394-of-505-poll-promises-women-centric-schemes-lag/,South First identifies the Rs 3 per litre reduction as implemented.
DMK,2021,welfare,Rs 1000 monthly assistance for eligible women heads of households,Fulfilled,high,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/south-first-analysis-dmk-delivers-394-of-505-poll-promises-women-centric-schemes-lag/,https://thesouthfirst.com/tamilnadu/promises-vs-reality-where-does-the-mk-stalin-government-stand-four-years-into-power/,Implemented through Kalaignar Magalir Urimai Thogai though rollout timing matters.
DMK,2021,prices,Reduce petrol by Rs 5 and diesel by Rs 4,Partially fulfilled,high,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/promises-vs-reality-where-does-the-mk-stalin-government-stand-four-years-into-power/,,South First reports only Rs 3 petrol and Rs 2 diesel cuts.
DMK,2021,prices,Reduce LPG cylinder price / give LPG subsidy,Not fulfilled,high,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/promises-vs-reality-where-does-the-mk-stalin-government-stand-four-years-into-power/,https://thesouthfirst.com/tamilnadu/south-first-analysis-dmk-delivers-394-of-505-poll-promises-women-centric-schemes-lag/,South First identifies LPG subsidy / price reduction as not implemented.
DMK,2021,education,Student education loan waiver for eligible youth,Not fulfilled,high,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/promises-vs-reality-where-does-the-mk-stalin-government-stand-four-years-into-power/,https://thesouthfirst.com/tamilnadu/south-first-analysis-dmk-delivers-394-of-505-poll-promises-women-centric-schemes-lag/,Both South First pieces identify this as unfulfilled / stalled.
DMK,2021,employment,75 percent reservation for Tamil Nadu residents in private sector employment,Not fulfilled,high,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/promises-vs-reality-where-does-the-mk-stalin-government-stand-four-years-into-power/,https://thesouthfirst.com/tamilnadu/south-first-analysis-dmk-delivers-394-of-505-poll-promises-women-centric-schemes-lag/,Described as aspirational / not materialised.
DMK,2021,temples,Allocate Rs 1000 crore for temple renovation,Fulfilled or substantially fulfilled,medium,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/promises-vs-reality-where-does-the-mk-stalin-government-stand-four-years-into-power/,,Reported as allocated and acted upon; expenditure closure not independently audited here.
DMK,2021,governance,Live-stream Assembly proceedings for transparency,Partial / caveated,medium,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/promises-vs-reality-where-does-the-mk-stalin-government-stand-four-years-into-power/,,South First notes live-streaming exists but opposition speeches are cut.
DMK,2021,women,Increase financial assistance under marriage assistance schemes,Not fulfilled,high,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/south-first-analysis-dmk-delivers-394-of-505-poll-promises-women-centric-schemes-lag/,,South First cites promises 255 to 259 as largely not implemented.
DMK,2021,employment,Government jobs for unmarried women above age 35 based on qualification,Not fulfilled,medium,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/south-first-analysis-dmk-delivers-394-of-505-poll-promises-women-centric-schemes-lag/,,Explicitly identified by South First as unfulfilled promise 262.
DMK,2021,taxation,Do not increase property tax until Covid effects subside,Not fulfilled,medium,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/south-first-analysis-dmk-delivers-394-of-505-poll-promises-women-centric-schemes-lag/,,South First says property tax was raised in 2022 despite promise 487.
DMK,2021,protest-rights,Withdraw cases against Sterlite hydrocarbon methane Kudankulam protesters,Partially fulfilled,medium,https://drive.google.com/file/d/1q8lv_2JzW-5xdTo8gVplTsWQW1Hd4aOp/preview,https://thesouthfirst.com/tamilnadu/south-first-analysis-dmk-delivers-394-of-505-poll-promises-women-centric-schemes-lag/,,South First says several cases remain pending and fresh cases were filed.
AIADMK,2016,agriculture,Waive outstanding crop loans through cooperatives,Fulfilled,high,https://drive.google.com/file/d/1G9y-R0WvnvhZb2EZ0grlPIcT8v9Pt6X_/preview,https://www.news18.com/news/politics/aiadmk-chief-jayalalithaa-takes-oath-as-tamil-nadu-chief-minister-1246779.html,https://www.thehindu.com/news/national/tamil-nadu/supreme-court-stays-hcorder-on-crop-loan-waiver/article19206019.ece,Immediate post-oath action and later litigation/reporting confirm implementation.
AIADMK,2016,power,Provide 100 free units of electricity every two months,Fulfilled,high,https://drive.google.com/file/d/1G9y-R0WvnvhZb2EZ0grlPIcT8v9Pt6X_/preview,https://www.news18.com/news/politics/aiadmk-chief-jayalalithaa-takes-oath-as-tamil-nadu-chief-minister-1246779.html,https://www.news18.com/news/politics/tamil-nadu-elections-a-status-check-of-aiadmks-2016-manifesto-3540776.html,News18 cites immediate order and later subsidy support.
AIADMK,2016,women,50 percent subsidy up to Rs 20000 for working women to buy scooters,Fulfilled,high,https://drive.google.com/file/d/1G9y-R0WvnvhZb2EZ0grlPIcT8v9Pt6X_/preview,https://www.thehindu.com/elections/tamilnadu2016/Jayalalithaa-releases-AIADMK-election-manifesto/article60513053.ece,https://www.news18.com/news/politics/tamil-nadu-elections-a-status-check-of-aiadmks-2016-manifesto-3540776.html,News18 reports order was passed soon after assuming office.
AIADMK,2016,women,Increase maternity assistance from Rs 12000 to Rs 18000,Fulfilled,high,https://drive.google.com/file/d/1G9y-R0WvnvhZb2EZ0grlPIcT8v9Pt6X_/preview,https://www.news18.com/news/politics/tamil-nadu-elections-a-status-check-of-aiadmks-2016-manifesto-3540776.html,,News18 explicitly identifies this as fulfilled.
AIADMK,2016,fisherfolk,Construct 5000 houses for fishermen,Fulfilled,medium,https://drive.google.com/file/d/1G9y-R0WvnvhZb2EZ0grlPIcT8v9Pt6X_/preview,https://www.news18.com/news/politics/tamil-nadu-elections-a-status-check-of-aiadmks-2016-manifesto-3540776.html,,Reported by News18 as fulfilled; second corroborating source not captured in this research pass.
AIADMK,2016,education,Free laptops for students,Fulfilled,medium,https://drive.google.com/file/d/1G9y-R0WvnvhZb2EZ0grlPIcT8v9Pt6X_/preview,https://www.news18.com/news/politics/tamil-nadu-elections-a-status-check-of-aiadmks-2016-manifesto-3540776.html,,Reported by News18 as fulfilled; second corroborating source not captured in this research pass.
AIADMK,2016,connectivity,Free cell phones for ration card holders,Not fulfilled,high,https://drive.google.com/file/d/1G9y-R0WvnvhZb2EZ0grlPIcT8v9Pt6X_/preview,https://www.thehindu.com/news/national/tamil-nadu/aiadmk-2016-manifesto-check-a-mixed-bag/article34031736.ece,https://www.news18.com/news/politics/tamil-nadu-elections-a-status-check-of-aiadmks-2016-manifesto-3540776.html,Both status-check articles identify this as remaining on paper.
AIADMK,2016,connectivity,Free Wi-Fi in public places,Partially fulfilled,high,https://drive.google.com/file/d/1G9y-R0WvnvhZb2EZ0grlPIcT8v9Pt6X_/preview,https://www.thehindu.com/news/national/tamil-nadu/aiadmk-2016-manifesto-check-a-mixed-bag/article34031736.ece,https://www.news18.com/news/politics/tamil-nadu-elections-a-status-check-of-aiadmks-2016-manifesto-3540776.html,Only limited Amma Free Wi-Fi zones were launched in five cities.
AIADMK,2016,governance,Amma banking card for the poor to avail state services,Not fulfilled,high,https://drive.google.com/file/d/1G9y-R0WvnvhZb2EZ0grlPIcT8v9Pt6X_/preview,https://www.thehindu.com/news/national/tamil-nadu/aiadmk-2016-manifesto-check-a-mixed-bag/article34031736.ece,https://www.news18.com/news/politics/tamil-nadu-elections-a-status-check-of-aiadmks-2016-manifesto-3540776.html,Both status-check articles say it had not reached the ground.
